"stratum","hemisphere","i","j","k","x","y","z","hospa","hocpa"
"near_edge","L",47,42,3,-2.5,-48.5,-72.5,0,0
"near_edge","L",39,63,78,-18.5,-6.5,77.5,2,3
"near_edge","L",45,100,30,-6.5,67.5,-18.5,2,1
"near_edge","L",39,14,48,-18.5,-104.5,17.5,2,48
"near_edge","L",14,61,35,-68.5,-10.5,-8.5,2,0
"near_edge","L",14,44,58,-68.5,-44.5,37.5,0,0
"near_edge","L",41,40,78,-14.5,-52.5,77.5,2,18
"near_edge","L",14,39,34,-68.5,-54.5,-10.5,0,0
"near_edge","L",42,100,51,-12.5,67.5,23.5,2,1
"near_edge","L",14,62,54,-68.5,-8.5,29.5,0,0
"near_edge","L",38,14,31,-20.5,-104.5,-16.5,0,0
"near_edge","L",12,50,44,-72.5,-32.5,9.5,0,0
"near_edge","L",34,100,39,-28.5,67.5,-0.5,2,1
"near_edge","L",14,50,26,-68.5,-32.5,-26.5,0,0
"near_edge","L",46,52,78,-4.5,-28.5,77.5,2,7
"near_edge","L",14,39,47,-68.5,-54.5,15.5,0,0
"near_edge","L",48,100,41,-0.5,67.5,3.5,13,1
"near_edge","L",46,14,39,-4.5,-104.5,-0.5,2,48
"near_edge","L",14,60,25,-68.5,-12.5,-28.5,0,0
"near_edge","L",37,49,78,-22.5,-34.5,77.5,2,17
"near_edge","L",34,14,40,-28.5,-104.5,1.5,0,0
"near_edge","L",14,52,53,-68.5,-28.5,27.5,2,19
"near_edge","L",14,59,45,-68.5,-14.5,11.5,2,0
"near_edge","L",12,48,35,-72.5,-36.5,-8.5,0,0
"near_edge","L",41,102,37,-14.5,71.5,-4.5,2,1
"near_edge","L",12,55,31,-72.5,-22.5,-16.5,2,12
"near_edge","L",13,43,41,-70.5,-46.5,3.5,2,0
"near_edge","L",40,100,44,-16.5,67.5,9.5,2,1
"near_edge","L",14,55,39,-68.5,-22.5,-0.5,2,10
"near_edge","L",14,45,51,-68.5,-42.5,23.5,2,20
"near_edge","L",14,51,60,-68.5,-30.5,41.5,0,0
"near_edge","L",40,56,78,-16.5,-20.5,77.5,2,7
"near_edge","R",49,42,3,1.5,-48.5,-72.5,0,0
"near_edge","R",56,62,78,15.5,-8.5,77.5,13,3
"near_edge","R",53,100,29,9.5,67.5,-20.5,13,1
"near_edge","R",56,14,47,15.5,-104.5,15.5,13,48
"near_edge","R",83,57,36,69.5,-18.5,-6.5,13,12
"near_edge","R",82,48,58,67.5,-36.5,37.5,13,0
"near_edge","R",53,40,78,9.5,-52.5,77.5,13,0
"near_edge","R",51,100,51,5.5,67.5,23.5,13,1
"near_edge","R",82,41,42,67.5,-50.5,5.5,13,13
"near_edge","R",82,64,51,67.5,-4.5,23.5,13,17
"near_edge","R",62,100,41,27.5,67.5,3.5,13,1
"near_edge","R",59,14,34,21.5,-104.5,-10.5,0,0
"near_edge","R",82,45,30,67.5,-42.5,-18.5,13,0
"near_edge","R",82,52,47,67.5,-28.5,15.5,13,0
"near_edge","R",59,50,78,21.5,-32.5,77.5,13,17
"near_edge","R",49,101,40,1.5,69.5,1.5,13,1
"near_edge","R",49,53,78,1.5,-26.5,77.5,13,7
"near_edge","R",82,55,26,67.5,-22.5,-26.5,13,12
"near_edge","R",82,57,57,67.5,-18.5,35.5,13,0
"near_edge","R",82,63,30,67.5,-6.5,-18.5,13,11
"near_edge","R",82,49,39,67.5,-34.5,-0.5,13,12
"near_edge","R",82,44,50,67.5,-44.5,21.5,13,20
"near_edge","R",82,61,43,67.5,-10.5,7.5,13,0
"near_edge","R",60,100,33,23.5,67.5,-12.5,13,1
"near_edge","R",52,14,40,7.5,-104.5,1.5,13,48
"near_edge","R",58,100,48,19.5,67.5,17.5,13,1
"near_edge","R",60,14,41,23.5,-104.5,3.5,13,48
"near_edge","R",53,47,80,9.5,-38.5,81.5,13,17
"near_edge","R",55,102,37,13.5,71.5,-4.5,13,1
"near_edge","R",82,52,32,67.5,-28.5,-14.5,13,12
"near_edge","R",82,41,35,67.5,-50.5,-8.5,13,13
"near_edge","R",55,55,79,13.5,-22.5,79.5,13,7
"boundary","L",41,39,6,-14.5,-54.5,-66.5,0,0
"boundary","L",44,90,65,-8.5,47.5,51.5,2,1
"boundary","L",40,26,68,-16.5,-80.5,57.5,2,22
"boundary","L",15,62,39,-66.5,-8.5,-0.5,2,0
"boundary","L",47,85,23,-2.5,37.5,-32.5,0,0
"boundary","L",23,24,35,-50.5,-84.5,-8.5,2,23
"boundary","L",27,59,73,-42.5,-14.5,67.5,2,7
"boundary","L",24,92,42,-48.5,51.5,5.5,2,1
"boundary","L",29,64,14,-38.5,-4.5,-50.5,2,37
"boundary","L",16,38,58,-64.5,-56.5,37.5,0,0
"boundary","L",48,16,43,-0.5,-100.5,7.5,2,48
"boundary","L",48,60,30,-0.5,-12.5,-18.5,0,0
"boundary","L",48,48,77,-0.5,-36.5,75.5,13,0
"boundary","L",42,20,20,-12.5,-92.5,-38.5,0,0
"boundary","L",21,41,19,-54.5,-50.5,-40.5,0,0
"boundary","L",21,76,58,-54.5,19.5,37.5,2,4
"boundary","L",47,99,45,-2.5,65.5,11.5,2,1
"boundary","L",47,70,74,-2.5,7.5,69.5,2,26
"boundary","L",24,77,28,-48.5,21.5,-22.5,2,8
"boundary","L",30,20,53,-36.5,-92.5,27.5,2,0
"boundary","L",15,58,58,-66.5,-16.5,37.5,2,17
"boundary","L",28,40,72,-40.5,-52.5,65.5,2,18
"boundary","L",36,98,30,-24.5,63.5,-18.5,2,1
"boundary","L",45,54,14,-6.5,-24.5,-50.5,8,0
"boundary","L",29,28,11,-38.5,-76.5,-56.5,0,0
"boundary","L",16,57,22,-64.5,-18.5,-34.5,0,0
"boundary","L",15,38,34,-66.5,-56.5,-10.5,2,0
"boundary","L",32,74,70,-32.5,15.5,61.5,2,4
"boundary","L",30,89,57,-36.5,45.5,35.5,2,1
"boundary","L",33,52,24,-30.5,-28.5,-30.5,2,38
"boundary","L",38,71,25,-20.5,9.5,-28.5,2,33
"boundary","L",18,77,43,-60.5,21.5,7.5,2,0
"boundary","R",51,37,6,5.5,-58.5,-66.5,0,0
"boundary","R",51,89,66,5.5,45.5,53.5,13,1
"boundary","R",57,27,68,17.5,-78.5,57.5,13,22
"boundary","R",81,64,36,65.5,-4.5,-6.5,13,9
"boundary","R",49,92,24,1.5,51.5,-30.5,13,25
"boundary","R",74,27,34,51.5,-78.5,-10.5,13,23
"boundary","R",71,59,70,45.5,-14.5,61.5,13,7
"boundary","R",49,60,29,1.5,-12.5,-20.5,0,0
"boundary","R",72,92,44,47.5,51.5,9.5,13,1
"boundary","R",49,17,41,1.5,-98.5,3.5,2,48
"boundary","R",68,73,15,39.5,13.5,-48.5,13,8
"boundary","R",79,38,57,61.5,-56.5,35.5,13,21
"boundary","R",49,50,77,1.5,-32.5,75.5,13,7
"boundary","R",68,47,20,39.5,-38.5,-38.5,0,0
"boundary","R",57,20,20,17.5,-92.5,-38.5,0,0
"boundary","R",70,79,62,43.5,25.5,45.5,13,4
"boundary","R",54,70,75,11.5,7.5,71.5,13,3
"boundary","R",49,99,49,1.5,65.5,19.5,13,1
"boundary","R",67,22,52,37.5,-88.5,25.5,13,22
"boundary","R",80,65,55,63.5,-2.5,31.5,13,7
"boundary","R",69,31,11,41.5,-70.5,-56.5,0,0
"boundary","R",67,86,28,37.5,39.5,-22.5,13,1
"boundary","R",67,42,73,37.5,-48.5,67.5,13,18
"boundary","R",81,43,32,65.5,-46.5,-14.5,13,13
"boundary","R",50,52,14,3.5,-28.5,-50.5,8,0
"boundary","R",54,76,25,11.5,19.5,-28.5,13,33
"boundary","R",78,60,20,59.5,-12.5,-38.5,13,15
"boundary","R",78,77,45,59.5,21.5,11.5,13,6
"boundary","R",61,99,34,25.5,65.5,-10.5,13,1
"boundary","R",63,92,57,29.5,51.5,35.5,13,1
"boundary","R",63,16,35,29.5,-100.5,-8.5,13,48
"boundary","R",52,19,56,7.5,-94.5,33.5,13,48
"subcortical","L",46,41,6,-4.5,-50.5,-66.5,8,0
"subcortical","L",40,75,47,-16.5,17.5,15.5,5,0
"subcortical","L",35,45,40,-26.5,-42.5,1.5,9,0
"subcortical","L",35,65,25,-26.5,-2.5,-28.5,10,0
"subcortical","L",48,49,25,-0.5,-34.5,-28.5,8,0
"subcortical","L",48,59,41,-0.5,-14.5,3.5,4,0
"subcortical","L",32,62,41,-32.5,-8.5,3.5,6,0
"subcortical","L",45,71,34,-6.5,9.5,-10.5,11,0
"subcortical","L",40,60,52,-16.5,-12.5,25.5,5,0
"subcortical","L",32,54,31,-32.5,-24.5,-16.5,9,0
"subcortical","L",46,48,37,-4.5,-36.5,-4.5,8,0
"subcortical","L",37,50,21,-22.5,-32.5,-36.5,8,0
"subcortical","L",48,50,13,-0.5,-32.5,-52.5,8,0
"subcortical","L",44,59,27,-8.5,-14.5,-24.5,8,0
"subcortical","L",34,72,37,-28.5,11.5,-4.5,6,0
"subcortical","L",41,51,46,-14.5,-30.5,13.5,4,0
"subcortical","L",43,43,18,-10.5,-46.5,-42.5,8,0
"subcortical","L",40,63,36,-16.5,-6.5,-6.5,7,0
"subcortical","L",44,67,44,-8.5,1.5,9.5,5,0
"subcortical","L",48,57,19,-0.5,-18.5,-40.5,8,0
"subcortical","L",41,78,38,-14.5,23.5,-2.5,5,0
"subcortical","L",39,54,38,-18.5,-24.5,-2.5,4,0
"subcortical","L",42,51,30,-12.5,-30.5,-18.5,8,0
"subcortical","L",35,69,45,-26.5,5.5,11.5,6,0
"subcortical","L",40,60,44,-16.5,-12.5,9.5,4,0
"subcortical","L",40,68,51,-16.5,3.5,23.5,5,0
"subcortical","L",37,60,30,-22.5,-12.5,-18.5,9,0
"subcortical","L",48,54,33,-0.5,-24.5,-12.5,8,0
"subcortical","L",46,58,48,-4.5,-16.5,17.5,4,0
"subcortical","L",44,51,19,-8.5,-30.5,-40.5,8,0
"subcortical","L",34,66,32,-28.5,-0.5,-14.5,10,0
"subcortical","L",31,49,36,-34.5,-34.5,-6.5,9,0
"subcortical","R",49,41,6,1.5,-50.5,-66.5,8,0
"subcortical","R",56,76,47,15.5,19.5,15.5,16,0
"subcortical","R",49,47,37,1.5,-38.5,-4.5,8,0
"subcortical","R",61,66,24,25.5,-0.5,-30.5,20,0
"subcortical","R",63,59,42,29.5,-14.5,5.5,17,0
"subcortical","R",49,53,20,1.5,-26.5,-38.5,8,0
"subcortical","R",49,64,38,1.5,-4.5,-2.5,15,0
"subcortical","R",57,74,34,17.5,15.5,-10.5,17,0
"subcortical","R",52,55,48,7.5,-22.5,17.5,15,0
"subcortical","R",63,54,30,29.5,-24.5,-18.5,19,0
"subcortical","R",61,46,40,25.5,-40.5,1.5,19,0
"subcortical","R",54,43,17,11.5,-46.5,-44.5,8,0
"subcortical","R",57,65,51,17.5,-2.5,23.5,16,0
"subcortical","R",52,56,30,7.5,-20.5,-18.5,8,0
"subcortical","R",51,45,27,5.5,-42.5,-24.5,8,0
"subcortical","R",64,69,40,31.5,5.5,1.5,17,0
"subcortical","R",58,64,34,19.5,-4.5,-10.5,20,0
"subcortical","R",59,50,22,21.5,-32.5,-34.5,8,0
"subcortical","R",49,49,11,1.5,-34.5,-56.5,8,0
"subcortical","R",54,55,39,11.5,-22.5,-0.5,15,0
"subcortical","R",51,72,41,5.5,11.5,3.5,16,0
"subcortical","R",56,63,43,15.5,-6.5,7.5,15,0
"subcortical","R",59,53,45,21.5,-26.5,11.5,15,0
"subcortical","R",55,57,23,13.5,-18.5,-32.5,8,0
"subcortical","R",49,62,46,1.5,-8.5,13.5,15,0
"subcortical","R",56,79,40,15.5,25.5,1.5,16,0
"subcortical","R",65,61,29,33.5,-10.5,-20.5,19,0
"subcortical","R",65,49,35,33.5,-34.5,-8.5,19,0
"subcortical","R",57,58,52,17.5,-16.5,25.5,16,0
"subcortical","R",55,62,28,13.5,-8.5,-22.5,19,34
"subcortical","R",57,69,39,17.5,5.5,-0.5,18,0
"subcortical","R",62,65,46,27.5,-2.5,13.5,17,0
"cortical","L",31,65,14,-34.5,-2.5,-50.5,2,37
"cortical","L",40,40,77,-16.5,-52.5,75.5,2,18
"cortical","L",45,94,59,-6.5,55.5,39.5,2,1
"cortical","L",38,16,31,-20.5,-100.5,-16.5,2,48
"cortical","L",18,64,53,-60.5,-4.5,27.5,2,7
