"stratum","hemisphere","i","j","k","x","y","z","hospa","hocpa"
"near_edge","L",44,38,0,-2,-50,-72,0,0
"near_edge","L",38,63,74,-14,0,76,2,0
"near_edge","L",42,97,28,-6,68,-16,2,1
"near_edge","L",37,12,45,-16,-102,18,2,48
"near_edge","L",11,55,33,-68,-16,-6,2,0
"near_edge","L",40,35,74,-10,-56,76,0,0
"near_edge","L",12,42,55,-66,-42,38,0,0
"near_edge","L",12,35,36,-66,-56,0,2,13
"near_edge","L",39,97,48,-12,68,24,2,1
"near_edge","L",12,59,50,-66,-8,28,2,17
"near_edge","L",39,12,28,-12,-102,-16,0,0
"near_edge","L",32,48,74,-26,-30,76,2,0
"near_edge","L",12,44,25,-66,-38,-22,2,0
"near_edge","L",32,97,37,-26,68,2,2,1
"near_edge","L",12,47,43,-66,-32,14,2,10
"near_edge","L",44,52,74,-2,-22,76,2,7
"near_edge","L",31,12,36,-28,-102,0,2,48
"near_edge","L",44,11,37,-2,-104,2,2,48
"near_edge","L",44,98,39,-2,70,6,2,1
"near_edge","L",12,37,46,-66,-52,20,2,0
"near_edge","L",12,54,23,-66,-18,-26,2,12
"near_edge","L",10,45,34,-70,-36,-4,2,12
"near_edge","L",12,52,56,-66,-22,40,0,0
"near_edge","L",40,44,76,-10,-38,80,2,17
"near_edge","L",12,60,41,-66,-6,10,2,0
"near_edge","L",36,55,75,-18,-16,78,2,7
"near_edge","L",33,40,74,-24,-46,76,0,0
"near_edge","L",12,61,28,-66,-4,-16,2,0
"near_edge","L",12,38,29,-66,-50,-14,2,0
"near_edge","L",11,54,45,-68,-18,18,2,0
"near_edge","L",11,48,50,-68,-30,28,2,19
"near_edge","L",39,99,34,-12,72,-4,2,1
"near_edge","R",46,38,0,2,-50,-72,0,0
"near_edge","R",54,62,74,18,-2,76,13,0
"near_edge","R",49,97,27,8,68,-18,13,1
"near_edge","R",53,12,44,16,-102,16,13,48
"near_edge","R",80,57,31,70,-12,-10,13,0
"near_edge","R",52,35,74,14,-56,76,0,0
"near_edge","R",79,45,55,68,-36,38,0,0
"near_edge","R",52,97,48,14,68,24,13,1
"near_edge","R",79,38,36,68,-50,0,13,13
"near_edge","R",79,60,48,68,-6,24,13,0
"near_edge","R",46,49,74,2,-28,76,13,7
"near_edge","R",56,12,30,22,-102,-12,13,48
"near_edge","R",59,97,36,28,68,0,13,1
"near_edge","R",59,47,74,28,-32,76,0,0
"near_edge","R",80,49,42,70,-28,12,13,10
"near_edge","R",79,46,26,68,-34,-20,13,0
"near_edge","R",46,98,38,2,70,4,13,1
"near_edge","R",46,12,35,2,-102,-2,0,48
"near_edge","R",79,40,45,68,-46,18,13,0
"near_edge","R",79,54,54,68,-18,36,0,0
"near_edge","R",81,47,34,72,-32,-4,13,12
"near_edge","R",79,59,39,68,-8,6,13,0
"near_edge","R",52,43,76,14,-40,80,13,17
"near_edge","R",53,53,75,16,-20,78,13,7
"near_edge","R",58,12,38,26,-102,4,13,48
"near_edge","R",79,54,24,68,-18,-24,13,12
"near_edge","R",53,99,40,16,72,8,13,1
"near_edge","R",47,57,74,4,-12,76,13,0
"near_edge","R",79,49,49,68,-28,26,13,19
"near_edge","R",52,99,33,14,72,-6,13,1
"near_edge","R",59,97,43,28,68,14,13,1
"near_edge","R",58,40,74,26,-46,76,0,0
"boundary","L",43,38,3,-4,-50,-66,0,0
"boundary","L",42,83,65,-6,40,58,0,0
"boundary","L",36,22,62,-18,-82,52,2,22
"boundary","L",13,60,34,-64,-6,-4,2,0
"boundary","L",42,90,22,-6,54,-28,2,1
"boundary","L",21,23,28,-48,-80,-16,2,23
"boundary","L",22,54,67,-46,-18,62,2,17
"boundary","L",44,48,41,-2,-30,10,1,0
"boundary","L",33,64,12,-24,2,-48,2,0
"boundary","L",21,87,42,-48,48,12,2,1
"boundary","L",14,34,51,-62,-58,30,2,0
"boundary","L",44,13,31,-2,-100,-10,2,0
"boundary","L",42,73,41,-6,20,10,3,0
"boundary","L",44,42,73,-2,-42,74,2,0
"boundary","L",21,41,13,-48,-44,-46,0,0
"boundary","L",44,96,48,-2,66,24,0,0
"boundary","L",22,74,59,-46,22,46,2,4
"boundary","L",42,63,73,-6,0,74,2,3
"boundary","L",35,21,12,-20,-84,-48,0,0
"boundary","L",23,76,25,-44,26,-22,2,0
"boundary","L",44,40,23,-2,-46,-26,0,0
"boundary","L",28,16,45,-34,-94,18,2,48
"boundary","L",29,36,39,-32,-54,6,1,0
"boundary","L",24,36,66,-42,-54,60,2,0
"boundary","L",43,58,26,-4,-10,-20,0,0
"boundary","L",13,59,52,-64,-8,32,2,17
"boundary","L",16,58,17,-58,-10,-38,2,0
"boundary","L",13,39,28,-64,-48,-16,2,16
"boundary","L",44,16,49,-2,-94,26,2,48
"boundary","L",30,96,32,-30,66,-8,2,1
"boundary","L",41,74,23,-8,22,-26,2,27
"boundary","L",42,51,12,-6,-24,-48,8,0
"boundary","R",49,37,3,8,-52,-66,0,0
"boundary","R",50,86,63,10,46,54,0,0
"boundary","R",52,23,64,14,-80,56,0,0
"boundary","R",78,60,34,66,-6,-4,13,10
"boundary","R",46,84,20,2,42,-32,0,0
"boundary","R",70,23,31,50,-80,-10,13,23
"boundary","R",66,55,69,42,-16,66,13,7
"boundary","R",46,50,41,2,-26,10,0,0
"boundary","R",69,88,40,48,50,8,13,1
"boundary","R",61,62,11,32,-2,-50,13,37
"boundary","R",75,34,55,60,-58,38,13,0
"boundary","R",46,13,37,2,-100,2,2,48
"boundary","R",71,39,13,52,-48,-46,0,0
"boundary","R",47,73,41,4,20,10,12,0
"boundary","R",46,43,73,2,-40,74,13,0
"boundary","R",74,70,54,58,14,36,13,0
"boundary","R",54,18,16,18,-90,-40,0,0
"boundary","R",47,66,72,4,6,72,13,26
"boundary","R",46,40,23,2,-46,-26,0,0
"boundary","R",67,76,24,44,26,-24,13,8
"boundary","R",62,18,48,34,-90,24,13,48
"boundary","R",46,96,47,2,66,22,13,1
"boundary","R",62,39,38,34,-48,4,12,0
"boundary","R",46,63,22,2,0,-28,0,0
"boundary","R",63,37,70,36,-52,68,13,18
"boundary","R",57,96,29,24,66,-14,13,1
"boundary","R",78,52,56,66,-22,40,13,19
"boundary","R",78,39,29,66,-48,-14,13,16
"boundary","R",62,73,66,34,20,60,13,0
"boundary","R",75,55,18,60,-16,-36,13,15
"boundary","R",64,85,55,38,44,38,13,1
"boundary","R",59,49,21,28,-28,-30,13,0
"subcortical","L",43,39,3,-4,-48,-66,8,0
"subcortical","L",37,71,44,-16,16,16,5,0
"subcortical","L",30,43,34,-30,-40,-4,9,0
"subcortical","L",32,63,22,-26,0,-28,10,0
"subcortical","L",44,46,21,-2,-34,-30,8,0
"subcortical","L",44,53,43,-2,-20,14,4,0
"subcortical","L",29,59,38,-32,-8,4,6,0
"subcortical","L",42,67,31,-6,8,-10,11,0
"subcortical","L",36,53,28,-18,-20,-16,9,0
"subcortical","L",44,46,33,-2,-34,-6,8,0
"subcortical","L",37,60,48,-16,-6,24,5,0
"subcortical","L",32,70,34,-26,14,-4,6,0
"subcortical","L",41,55,16,-8,-16,-40,8,0
"subcortical","L",40,40,13,-10,-46,-46,8,0
"subcortical","L",35,51,39,-20,-24,6,4,0
"subcortical","L",43,57,34,-4,-12,-4,4,0
"subcortical","L",35,47,18,-20,-32,-36,8,0
"subcortical","L",27,52,29,-36,-22,-14,9,0
"subcortical","L",44,47,9,-2,-32,-54,8,0
"subcortical","L",41,64,40,-8,2,8,5,0
"subcortical","L",44,55,25,-2,-16,-22,8,0
"subcortical","L",38,42,38,-14,-42,4,9,0
"subcortical","L",35,62,33,-20,-2,-6,7,0
"subcortical","L",39,74,36,-12,22,0,5,0
"subcortical","L",39,61,26,-12,-4,-20,10,0
"subcortical","L",32,65,42,-26,4,12,6,0
"subcortical","L",31,55,23,-28,-16,-26,9,0
"subcortical","L",40,45,27,-10,-36,-18,8,0
"subcortical","L",36,47,33,-18,-32,-6,9,0
"subcortical","L",37,58,41,-16,-10,10,4,0
"subcortical","L",39,51,22,-12,-24,-28,8,0
"subcortical","L",41,48,15,-8,-30,-42,8,0
"subcortical","R",46,39,3,2,-48,-66,8,0
"subcortical","R",53,72,44,16,18,16,16,0
"subcortical","R",59,43,35,28,-40,-2,19,0
"subcortical","R",57,63,22,24,0,-28,20,34
"subcortical","R",46,47,21,2,-32,-30,8,0
"subcortical","R",46,55,41,2,-16,10,15,0
"subcortical","R",61,60,37,32,-6,2,17,0
"subcortical","R",48,67,32,6,8,-8,21,0
"subcortical","R",62,52,27,34,-22,-18,19,0
"subcortical","R",47,46,33,4,-34,-6,8,0
"subcortical","R",54,60,48,18,-6,24,16,0
"subcortical","R",51,41,13,12,-44,-46,8,0
"subcortical","R",56,51,42,22,-24,12,15,0
"subcortical","R",58,70,34,26,14,-4,17,0
"subcortical","R",50,56,25,10,-14,-22,8,0
"subcortical","R",56,48,20,22,-30,-32,8,0
"subcortical","R",46,53,13,2,-20,-46,8,0
"subcortical","R",50,63,40,10,0,8,15,0
"subcortical","R",52,53,34,14,-20,-4,15,0
"subcortical","R",46,46,8,2,-34,-56,8,0
"subcortical","R",56,60,30,22,-6,-12,20,0
"subcortical","R",50,74,36,10,22,0,16,0
"subcortical","R",52,48,27,14,-30,-18,8,0
"subcortical","R",46,59,34,2,-8,-4,15,0
"subcortical","R",58,66,42,26,6,12,17,0
"subcortical","R",49,48,42,8,-30,12,15,0
"subcortical","R",48,42,26,6,-42,-20,8,0
"subcortical","R",51,48,14,12,-30,-44,8,0
"subcortical","R",58,56,23,26,-14,-26,19,0
"subcortical","R",51,53,19,12,-20,-34,8,0
"subcortical","R",46,51,28,2,-24,-16,8,0
"subcortical","R",58,49,32,26,-28,-8,19,0
"cortical","L",28,60,12,-34,-6,-48,2,37
"cortical","L",36,37,73,-18,-52,74,2,18
"cortical","L",42,90,57,-6,54,42,2,1
"cortical","L",38,14,28,-14,-98,-16,2,48
"cortical","L",14,61,49,-62,-4,26,2,17
"cortical","L",42,92,24,-6,58,-24,2,1
"cortical","L",18,28,48,-54,-70,24,2,22
"cortical","L",44,57,50,-2,-12,28,1,29
"cortical","L",35,41,30,-20,-44,-12,2,36
"cortical","L",20,79,31,-50,32,-10,2,33
